order_id,store_id,product_id,units,created_at
1243037,56,2609,1,2021-12-01 17:35:20.933423 UTC
1291683,56,2609,1,2021-12-04 20:01:06.82537 UTC
928067,43,2609,1,2021-11-24 16:01:36.95143 UTC
2028323,17,2609,1,2022-01-15 22:06:38.001854 UTC
1420952,43,2609,1,2021-12-12 12:11:05.292083 UTC
1757941,56,2609,2,2021-12-29 10:16:03.128803 UTC
1821599,64,2609,1,2021-12-31 12:12:34.641259 UTC
1315602,56,2609,1,2021-12-06 13:55:04.279794 UTC
708056,16,2609,1,2021-11-05 17:25:53.114597 UTC
2029585,62,2609,1,2022-01-15 23:46:59.594109 UTC
1934283,43,2609,1,2022-01-10 15:23:54.692839 UTC
1857168,55,2609,1,2022-01-04 17:58:07.573658 UTC
1944473,17,2609,1,2022-01-11 13:20:21.774808 UTC
1975802,43,2609,1,2022-01-13 15:38:24.578273 UTC
1410662,64,2609,2,2021-12-11 17:57:45.58711 UTC
1235889,56,2609,1,2021-12-01 08:54:58.599103 UTC
1945756,67,2609,1,2022-01-11 14:44:34.743847 UTC
1948873,64,2609,1,2022-01-11 17:33:14.491966 UTC
1868348,64,2609,1,2022-01-05 17:11:39.918545 UTC
1852940,56,2609,1,2022-01-04 12:55:52.128439 UTC
1922840,55,2609,1,2022-01-09 15:08:07.164148 UTC
1947307,61,2609,2,2022-01-11 16:12:15.788166 UTC
1967485,67,2609,1,2022-01-13 08:00:30.682826 UTC
1911205,17,2609,1,2022-01-08 17:02:54.490816 UTC
1852149,61,2609,1,2022-01-04 11:44:21.579181 UTC
938333,43,2609,1,2021-11-24 21:36:03.650326 UTC
1139083,43,2609,1,2021-11-28 17:24:33.817627 UTC
1901199,64,2609,2,2022-01-07 21:10:27.59533 UTC
1462711,64,2609,1,2021-12-14 23:20:28.061977 UTC
1923311,55,2609,1,2022-01-09 15:40:28.779857 UTC
2039953,63,2609,1,2022-01-16 20:49:41.265469 UTC
1259130,43,2609,1,2021-12-02 21:47:09.483994 UTC
1857672,56,2609,1,2022-01-04 18:31:56.433637 UTC
2023000,62,2609,1,2022-01-15 19:03:08.08445 UTC
714890,16,2609,1,2021-11-06 12:18:12.458341 UTC
1928074,73,2609,1,2022-01-09 20:47:57.700183 UTC
2039020,62,2609,1,2022-01-16 19:44:26.237792 UTC
1956155,56,2609,1,2022-01-12 11:54:25.842427 UTC
1429981,56,2609,1,2021-12-12 21:21:06.949083 UTC
1910469,61,2609,1,2022-01-08 16:27:28.597054 UTC
1321367,33,2609,1,2021-12-06 17:35:11.079095 UTC
1600063,55,2609,1,2021-12-22 12:31:24.994503 UTC
1310851,43,2609,1,2021-12-06 10:18:35.952015 UTC
1144755,43,2609,1,2021-11-28 18:04:02.490846 UTC
1909886,56,2609,3,2022-01-08 15:56:48.879624 UTC
1365169,43,2609,1,2021-12-09 16:03:07.13987 UTC
1550147,56,2609,1,2021-12-19 11:50:24.771284 UTC
845794,16,2609,1,2021-11-18 13:59:30.006536 UTC
1899209,64,2609,2,2022-01-07 19:23:33.065275 UTC
1499463,64,2609,1,2021-12-16 18:47:11.023347 UTC
2041366,56,2609,1,2022-01-16 23:59:21.248847 UTC
1909407,17,2609,1,2022-01-08 15:33:14.193038 UTC
2042008,56,2609,1,2022-01-17 09:23:24.455615 UTC
2041431,63,2609,1,2022-01-17 06:57:39.051675 UTC
840042,43,2609,1,2021-11-17 20:08:20.750331 UTC
1740172,55,2609,1,2021-12-28 16:55:35.68432 UTC
1922058,64,2609,1,2022-01-09 14:22:19.1023 UTC
1906752,64,2609,1,2022-01-08 13:17:23.641251 UTC
1857139,56,2609,1,2022-01-04 17:55:50.260547 UTC
1535288,43,2609,1,2021-12-18 14:31:42.059152 UTC
1403653,43,2609,1,2021-12-11 14:03:50.858441 UTC
1931036,43,2609,1,2022-01-10 11:19:35.765653 UTC
1857887,55,2609,1,2022-01-04 18:45:51.173948 UTC
2044989,63,2609,1,2022-01-17 13:49:44.818395 UTC
707709,16,2609,1,2021-11-05 17:04:43.978171 UTC
1838406,64,2609,1,2022-01-02 17:07:38.438615 UTC
2020797,61,2609,2,2022-01-15 18:09:30.720269 UTC
1138921,43,2609,1,2021-11-28 17:23:29.666096 UTC
1315615,56,2609,1,2021-12-06 13:55:27.231036 UTC
1923434,55,2609,1,2022-01-09 15:47:50.620885 UTC
2042394,56,2609,1,2022-01-17 10:20:41.189057 UTC
2023715,17,2609,1,2022-01-15 19:20:09.709153 UTC
2041996,56,2609,1,2022-01-17 09:21:56.785776 UTC
1821589,64,2609,1,2021-12-31 12:12:25.489366 UTC
2039864,63,2609,1,2022-01-16 20:43:19.635443 UTC
2037241,62,2609,1,2022-01-16 17:48:57.622357 UTC
1898912,64,2609,2,2022-01-07 19:10:08.775253 UTC
1909625,61,2609,1,2022-01-08 15:43:58.363499 UTC
1410975,56,2609,1,2021-12-11 18:07:19.442639 UTC
2032322,62,2609,1,2022-01-16 12:31:15.070133 UTC
1949659,64,2609,3,2022-01-11 18:17:53.945936 UTC
709874,16,2609,1,2021-11-05 19:28:15.998642 UTC
1934127,64,2609,2,2022-01-10 15:12:00.432298 UTC
1856785,64,2609,2,2022-01-04 17:29:40.966624 UTC
1651576,62,2609,1,2021-12-24 08:10:32.117069 UTC
1942876,17,2609,1,2022-01-11 11:35:25.241872 UTC
1506343,55,2609,1,2021-12-17 09:13:14.285356 UTC
1880549,62,2609,1,2022-01-06 15:49:07.333116 UTC
1913755,56,2609,1,2022-01-08 19:03:23.534768 UTC
1864142,56,2609,1,2022-01-05 12:31:04.189711 UTC
1892566,64,2609,2,2022-01-07 13:34:49.245961 UTC
1542952,56,2609,2,2021-12-18 18:54:19.160413 UTC
1866706,64,2609,1,2022-01-05 15:27:18.795353 UTC
708024,16,2609,1,2021-11-05 17:24:36.293482 UTC
